"metro_area","sex","age","estimate"
"Memphis, TN-MS-AR Metro Area","Female","85 years and over",12892
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Total",NA,1933860
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","",946073
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","Under 5 years",61130
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","5 to 9 years",58670
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","10 to 14 years",69696
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","15 to 17 years",38053
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","18 and 19 years",28755
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","20 years",13972
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","21 years",12476
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","22 to 24 years",35624
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","25 to 29 years",72960
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","30 to 34 years",72202
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","35 to 39 years",66326
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","40 to 44 years",64967
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","45 to 49 years",64335
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","50 to 54 years",59290
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","55 to 59 years",60785
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","60 and 61 years",22512
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","62 to 64 years",29865
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","65 and 66 years",18184
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","67 to 69 years",22861
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","70 to 74 years",33415
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","75 to 79 years",19905
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","80 to 84 years",12305
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","85 years and over",7785
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","",987787
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","Under 5 years",58661
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","5 to 9 years",59459
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","10 to 14 years",62415
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","15 to 17 years",34091
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","18 and 19 years",25066
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","20 years",12642
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","21 years",12786
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","22 to 24 years",37820
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","25 to 29 years",77480
